"","Stop_ID","Stop_Name"
"380",20913,"Elmwood Av & 67th St"
"381",20914,"Elmwood Av & 68th St"
"382",20915,"Elmwood Av & 69th St"
"383",20916,"Elmwood Av & 70th St"
"384",20917,"Elmwood Av & 71st St"
"385",20918,"Elmwood Av & 72nd St"
"386",20919,"Elmwood Av & Island Av"
"387",20920,"Island Av & Buist Av - FS"
"388",20921,"Island Av & Tanager St"
"389",20922,"Island Av & 76th St"
"390",20923,"Island Av & Lindbergh Blvd - FS"
"391",20925,"Woodland Av & Chester Av"
"392",20927,"Island Av & Lindbergh Blvd - FS"
"393",20928,"Island Av & 76th St"
"394",20929,"Island Av & Tanager St - FS"
"395",20930,"Island Av & Buist Av"
"396",20931,"Elmwood Av & Island Av - MBFS"
"397",20932,"Elmwood Av & 73rd St"
"398",20933,"Elmwood Av & 72nd St"
"399",20934,"Elmwood Av & 71st St"
"400",20935,"Elmwood Av & 70th St"
"401",20936,"Elmwood Av & 69th St"
"402",20937,"Elmwood Av & 68th St"
"403",20938,"Elmwood Av & 67th St"
"404",20939,"Elmwood Av & 66th St"
"405",20940,"Elmwood Av & 65th St"
"406",20941,"Elmwood Av & 64th St"
"407",20942,"Elmwood Av & 63rd St"
"408",20943,"Elmwood Av & 62nd St"
"409",20944,"Elmwood Av & 61st St"
"410",20945,"Elmwood Av & Edgewood St"
"411",20946,"Elmwood Av & 59th St"
"412",20947,"Elmwood Av & 58th St"
"413",20948,"Elmwood Av & 57th St"
"414",20949,"Elmwood Av & 56th St"
"415",20950,"Lindbergh Blvd & Wheeler St"
"416",20951,"Lindbergh Blvd & 54th St"
"417",20952,"Lindbergh Blvd & 53rd St"
"418",20953,"Grays Av & 52nd St"
"419",20954,"Grays Av & 51st St"
"420",20955,"49th St & Paschall Av"
"421",20957,"49th St & Woodland Av"
"422",20958,"Woodland Av & 47th St"
"423",20978,"Girard Av & Front St"
"424",20993,"Girard Av & 2nd St"
"425",20994,"Girard Av & 3rd St"
"426",20995,"Girard Av & 4th St"
"427",20996,"Girard Av & 5th St"
"428",20998,"Girard Av & 7th St"
"429",20999,"Girard Av & 8th St"
"430",21001,"Girard Av & 11th St"
"431",21002,"Girard Av & 12th St"
"432",21005,"Girard Av & 16th St"
"433",21006,"Girard Av & 17th St"
"434",21008,"Girard Av & Ridge Av"
